MST	Max TemperatureF	Mean TemperatureF	Min TemperatureF	Max Dew PointF	MeanDew PointF	Min DewpointF	Max Humidity	 Mean Humidity	 Min Humidity	 Max Sea Level PressureIn	 Mean Sea Level PressureIn	 Min Sea Level PressureIn	 Max VisibilityMiles	 Mean VisibilityMiles	 Min VisibilityMiles	 Max Wind SpeedMPH	 Mean Wind SpeedMPH	 Max Gust SpeedMPH	PrecipitationIn	 CloudCover
5/1/14	91	81	70	25	19	14	17	12	6	29.97	29.9	29.83	10	10	10	28	10	34	0	0
5/2/14	95	81	67	27	17	10	17	11	5	29.98	29.89	29.8	10	10	10	13	5	17	0	1
5/3/14	102	85	68	29	21	10	22	13	4	29.91	29.83	29.74	10	10	10	15	7	32	0	1
5/4/14	101	85	69	30	19	8	20	12	4	29.88	29.82	29.74	10	10	10	20	9	26	0	3
5/5/14	98	84	70	32	23	16	22	14	6	29.88	29.78	29.68	10	10	10	23	9	40	0	4
5/6/14	87	78	68	35	27	19	22	16	10	29.72	29.65	29.6	10	10	10	32	12	38	0	4
5/7/14	77	68	59	33	31	26	36	28	19	29.85	29.77	29.67	10	10	10	23	8	27	0	2
5/8/14	84	74	63	42	34	28	43	29	14	29.93	29.88	29.82	10	10	10	16	5	21	0	1
5/9/14	88	76	63	37	32	28	34	23	12	29.93	29.86	29.78	10	10	10	15	4	20	0	4
5/10/14	94	80	65	39	34	30	29	20	11	29.83	29.67	29.53	10	10	10	22	9	29	0	0
5/11/14	82	76	70	39	22	9	29	18	6	29.83	29.7	29.57	10	9	3	29	17	37	0	1
5/12/14	88	78	67	25	21	14	20	13	6	29.97	29.89	29.82	10	10	10	21	8	26	0	0
5/13/14	89	79	69	23	13	4	16	11	5	30.13	30.03	29.95	10	10	10	28	15	35	0	0
5/14/14	94	82	70	27	17	4	12	9	6	30.15	30.02	29.92	10	10	10	24	10	31	0	0
5/15/14	99	84	69	28	21	16	17	11	5	30.08	29.96	29.85	10	10	10	20	7	23	0	0
5/16/14	104	88	71	33	21	11	23	14	4	29.93	29.83	29.73	10	10	10	18	7	22	0	3
5/17/14	104	89	74	31	18	7	18	11	3	29.81	29.74	29.64	10	10	10	22	8	26	0	6
5/18/14	101	87	73	26	18	13	15	10	5	29.79	29.68	29.6	10	10	10	16	9	23	0	6
5/19/14	100	87	73	23	17	7	14	9	4	29.77	29.71	29.65	10	10	10	21	10	31	0	1
5/20/14	95	84	72	30	23	9	20	13	5	29.86	29.75	29.68	10	10	10	23	9	27	0	1
5/21/14	91	79	67	32	23	16	24	16	7	29.86	29.78	29.73	10	10	10	21	7	26	0	1
5/22/14	92	79	66	29	20	14	22	14	6	29.87	29.79	29.73	10	10	10	18	7	26	0	3
5/23/14	90	80	69	39	32	21	25	18	11	29.88	29.82	29.76	10	10	10	24	9	28	0	5
5/24/14	91	80	69	41	36	25	36	23	9	29.87	29.81	29.74	10	10	10	18	8	27	0	4
5/25/14	96	87	77	41	38	35	27	20	12	29.88	29.77	29.69	10	10	10	16	7	22	0	4
5/26/14	104	90	76	42	38	30	28	19	9	29.9	29.79	29.72	10	10	10	21	7	26	0	2
5/27/14	107	93	78	45	37	29	28	18	8	29.88	29.79	29.69	10	10	10	17	8	23	0	3
5/28/14	104	92	79	39	30	20	23	15	6	29.83	29.71	29.62	10	10	10	17	7	19	0	5
5/29/14	99	92	84	46	40	32	23	17	10	29.82	29.76	29.69	10	10	10	22	9	29	0	5
5/30/14	106	93	79	46	41	34	28	19	9	29.79	29.72	29.64	10	10	10	15	6	21	0	1
5/31/14	108	94	80	43	36	21	26	17	8	29.76	29.69	29.61	10	10	10	23	7	28	0	1
6/1/14	106	92	78	37	28	18	23	14	4	29.75	29.7	29.63	10	10	10	16	7	20	0	1
6/2/14	110	94	77	35	26	19	19	12	4	29.8	29.68	29.6	10	10	10	14	6	19	0	6
6/3/14	108	95	81	38	25	12	19	12	4	29.73	29.66	29.6	10	10	9	16	6	19	0	5
6/4/14	107	92	76	29	14	3	15	9	2	29.71	29.65	29.58	10	10	10	20	6	25	0	1
6/5/14	107	92	76	31	15	-1	18	10	2	29.69	29.61	29.54	10	10	10	15	6	23	0	0
6/6/14	107	91	75	27	18	9	15	9	3	29.66	29.59	29.53	10	10	10	16	7	28	0	0
6/7/14	105	91	76	34	24	10	19	11	3	29.71	29.62	29.55	10	10	10	18	7	22	0	0
6/8/14	105	92	79	41	32	26	25	16	7	29.72	29.64	29.57	10	10	10	14	5	19	0	0
6/9/14	110	95	79	44	33	21	23	14	5	29.76	29.65	29.57	10	10	10	14	5	21	0	2
6/10/14	109	96	83	48	43	32	29	19	8	29.77	29.65	29.56	10	10	10	24	9	29	0	3
6/11/14	106	96	85	43	33	25	21	14	6	29.81	29.7	29.64	10	10	10	22	8	29	0	4
6/12/14	107	94	80	52	38	27	21	15	8	29.87	29.73	29.65	10	10	10	16	7	21	0	1
6/13/14	108	97	85	54	44	30	31	21	10	29.83	29.69	29.59	10	10	10	23	8	29	0	1
6/14/14	103	93	83	33	16	2	14	8	2	29.76	29.64	29.59	10	10	10	24	9	31	0	0
6/15/14	101	88	75	39	26	13	18	12	5	29.77	29.67	29.62	10	10	10	20	7	24	0	5
6/16/14	105	90	75	34	24	14	21	13	4	29.81	29.7	29.65	10	10	10	24	10	35	0	3
6/17/14	104	94	83	39	33	16	17	12	6	29.78	29.7	29.63	10	10	9	25	12	30	0	3
6/18/14	100	90	79	39	34	30	23	16	9	29.8	29.73	29.68	10	10	10	23	10	30	0	1
6/19/14	103	90	76	38	34	30	23	16	9	29.88	29.79	29.73	10	10	10	16	6	24	0	0
6/20/14	109	94	79	41	35	29	25	16	7	29.85	29.74	29.65	10	10	10	20	7	25	0	1
6/21/14	108	96	83	45	39	36	25	17	9	29.79	29.72	29.63	10	10	10	21	10	32	0	2
6/22/14	107	95	83	42	27	11	23	14	4	29.84	29.72	29.63	10	10	10	20	7	24	0	1
6/23/14	107	93	78	33	24	7	19	11	2	29.83	29.74	29.67	10	10	10	14	7	20	0	0
6/24/14	105	93	80	37	27	21	19	12	5	29.86	29.77	29.69	10	10	10	13	6	19	0	1
6/25/14	107	94	81	44	32	19	26	16	6	29.81	29.73	29.64	10	10	10	15	8	23	0	0
6/26/14	105	93	80	41	34	26	23	15	7	29.81	29.68	29.59	10	10	10	23	8	27	0	4
6/27/14	103	94	84	44	41	36	25	18	11	29.76	29.64	29.57	10	10	10	17	8	23	0	1
6/28/14	107	95	82	48	45	39	25	19	12	29.79	29.69	29.62	10	10	10	15	7	19	0	0
6/29/14	109	98	86	54	49	44	29	21	13	29.82	29.74	29.65	10	10	10	17	8	21	0	0
6/30/14	109	98	87	57	47	36	36	23	9	29.8	29.71	29.61	10	10	10	16	7	22	0	0
7/1/14	109	98	86	49	40	33	25	16	7	29.83	29.69	29.62	10	10	9	17	6	22	0	2
7/2/14	109	98	86	48	42	35	21	15	9	29.89	29.74	29.65	10	10	10	16	6	21	0	1
7/3/14	108	94	79	69	58	49	60	37	15	30.01	29.84	29.69	10	9	1	44	8	56	T	4
7/4/14	98	90	81	69	62	56	67	46	25	29.96	29.92	29.83	10	10	10	14	6	18	0	6
7/5/14	103	94	84	68	62	58	51	38	24	30.02	29.9	29.8	10	10	7	30	8	38	0.01	5
7/6/14	105	95	84	65	61	55	51	36	20	29.94	29.83	29.71	10	10	10	25	7	29	0	5
7/7/14	108	98	88	66	61	53	47	32	17	29.8	29.74	29.65	10	10	10	22	7	30	0	4
