lnadjcloseSP500,lnadjcloseGE
0.012319159,0.014550832
0.001291248,-0.006545138
0.002364446,0.009801712
0.004950746,0.017952151
-0.008927284,-0.014243292
0.004775274,0.00921241
-0.005345918,-0.015246311
0.008260326,0.012491488
0.001352445,0
0.00684898,0.040987498
-0.000930396,0.000441209
0.0077415,0.014451751
-0.003211789,-0.009611258
-0.002091456,-0.009261367
0.012033651,0.027530688
-0.009846041,0.001292268
-0.013703004,-0.012562435
0.004976608,0.008248365
-0.002631069,-0.012179359
0.003644567,0
0.000678029,-0.012329527
-0.008406494,-0.000886525
0.001835831,0.010147892
0.012477323,-0.010147892
-0.002584807,-0.008908745
0.00501456,-0.011701304
0.010610962,0.017501008
-0.00489206,-0.006694959
-0.005483233,-0.004488338
0.009709995,0.010293221
-0.004478505,-0.008944603
-0.004141153,-0.004953849
-0.002575105,0.003155288
-0.002730736,0.021812572
-0.001666609,-0.003970885
0.004012692,-0.009773512
0.001083641,-0.002682165
2.62026E-05,-0.004936066
0.009587584,0.00851069
-0.005960791,-0.00941078
0.001678166,0.011193311
0.00333059,0.001334817
0.001721655,-0.004009807
-0.008385247,-0.028987537
-0.005787286,-0.008306462
-0.014741023,-0.014939587
-0.015340983,-0.021874386
0.012382586,0.005752652
-0.014453794,-0.009606222
0.005606757,0.006254531
0.01168086,0.008596041
-0.001273335,-0.001427552
-0.011236174,-0.018746043
-0.013042204,-0.024559191
-0.001324594,-0.007486933
-0.002397863,-0.000501128
0.016232883,0.017884232
-0.001019281,0.013206355
0.012920876,0.012554486
0.004027621,0.006695386
-0.000701222,-0.005256882
0.005278132,0.002870815
0.008478577,0.01470266
0.007642749,0.016344048
-0.002096811,-0.001854428
-0.006667594,-0.003719205
-0.001061473,0
0.005147701,0.0069622
-0.01385736,-0.02008944
-0.001125084,-0.016655155
0.000593706,0.009075773
0.005098423,0.01510175
0.001065877,-0.004224367
-0.015679323,-0.020433118
0.005298286,0.007651879
0.013993038,0.004752861
0.000587583,-0.005229392
-0.004454937,0.001904762
0.00226949,-0.00620379
-0.013890833,-0.017870555
-0.007619766,0.001460921
-0.005933774,-0.003412141
0.009160479,0.011650617
0.00184172,0.004334223
0.001767006,0.001920308
-0.00674566,-0.000959693
-0.013820502,-0.015481683
-0.010595665,0.000974659
0.00763324,0.007279819
0.001669153,0.004823936
-0.000765822,-0.001444739
-0.000675139,-0.006284768
-0.010643279,-0.006324516
0.006793586,0.015016024
-0.002577782,-0.005785937
0.000468348,-0.000483676
0.004004129,0.013932486
0.001690293,0.003809528
0.015975273,0.014157858
0.001696597,0.002340277
0.005670298,-0.000935454
-0.000535246,-0.004220405
0.000463896,-0.002823531
0.003374606,0.00188324
-0.00744997,-0.003298001
0.005234164,0.007522367
0.015838275,0.014415502
0.001542101,-0.006484506
-0.009544785,-0.009337136
0.004533035,0.009801712
-0.009886187,0.002319648
0.005954033,0.007846798
0.001368309,0.009153382
-0.001332975,0.007715037
0.002620124,0.006758305
-0.004167188,0.000897666
0.003629608,0.007597802
0.008470647,0.017215168
-0.002985064,0.001312049
-0.005467953,-0.033329012
-0.000952473,0.00405863
0.002511512,0.000899685
0.004075472,0.002245678
-0.010485694,-0.012187016
-0.003158383,-0.010959014
-0.008181738,0.005037794
0.001897483,0.00592122
-0.008278609,-0.010041161
0.003330456,0.015024184
0.001382927,0.013019264
0.000708682,0.007553913
-0.003296494,0.008814513
-0.004309885,0.006996093
-0.00480056,-0.008313327
-0.000444991,0.004384049
0.007033072,-0.000875274
-0.01343009,-0.018559967
0.00270231,0.008881053
-0.009747952,-0.011113695
-0.00196289,-0.006727991
0.009876623,0.015185642
0.000538751,0.014958484
0.004563161,-0.002623526
0.001171582,0.001312623
0.00443773,0.000437158
-0.006282003,-0.01187088
-0.000964373,0.000442184
-0.01645497,-0.020545609
-0.015601784,-0.021898685
0.001174156,0.010552977
0.012890406,0.007276067
-0.003016482,0.003618276
-0.011743831,-0.018683615
0.001475543,0.008701681
0.013562755,0.013137222
0.002193379,-0.004962789
0.01236648,0.019705071
-0.003604102,-0.002219757
0.006503553,-0.00177936
-0.002433879,-0.004462301
0.000465356,0.003571432
0.007968604,0.004889985
0.000117644,0
0.002422206,-0.000443557
-0.007811832,-0.00623055
0.004620162,0.006674107
0.00151121,0.003099405
0.011150092,0.007487373
-0.004193667,-0.008814513
0.006863777,0.014938766
-0.004495956,0.009548684
0.001888439,0.006029303
0.004941365,0.000429277
0.001689084,-0.00387014
0.002227004,0.002151927
-0.007079676,-0.008635632
0.002789825,0
0.00448481,0.020601587
-0.005642579,-0.000424899
0.006306927,0.007198845
-0.014035881,-0.015306421
-0.004680645,-0.009470583
0.001577664,0
-0.005954039,-0.008688152
0.005908997,0.005655878
0.004260949,0.003896952
-0.000197364,0.003881825
0.015066534,0.011555874
0.003238233,0.00466993
-0.000608023,-0.002119992
0.006650497,0.009714966
-0.010032205,-0.012690526
-0.007555112,-0.006406172
0.00200309,0.007682496
-0.002270472,0.000849979
-0.007327285,-0.00938974
-0.009346284,-0.007316581
0.004440452,0.00258844
0.005238017,0.010287275
-0.009732854,-0.013740019
0.000389689,-0.006506204
0.002560914,0.004775351
-0.009762909,-0.012639087
-0.000858236,-0.001755927
0.014769817,0.022160368
0.012797013,0.009409821
0.001811048,0.002551022
0.002445032,0.002544531
0.00027425,-0.002119992
4.42268E-05,0
0.011118262,0.008032172
0.016027277,0.022070436
0.00386625,0.002878883
-0.001098213,-0.002055499
-0.000695586,0.008604847
-0.001005591,-0.002860063
0.009048209,0.013412109
0.009068414,0.012437472
-0.000304057,-0.003995211
-0.007104013,0
0.005523118,0.006782392
0.00136124,0.013035934
-0.011224092,-0.01542447
0.005878411,-0.004794256
-0.000254866,-0.007638228
0.004087003,-0.004854378
0.000752831,-0.005693387
-0.003455844,-0.004086642
-0.004038451,0.002045409
0.014840518,0.018222816
-0.000873326,-0.002008436
0.000705438,-0.003221912
-0.000772648,-0.004447147
-0.011135069,-0.010181314
0.004864664,0.011396135
0.005421484,0.008462674
-0.001043227,0.018684702
0.00894973,0.021045204
0.003913313,-0.002703226
0.001942635,0.000386623
-0.002083914,-0.007371517
-0.00751648,-0.009782899
0.00037675,0.009782899
0.008999686,0.001556421
0.003411983,-0.003115267
0.000462867,-0.001951982
-0.004314617,-0.005485907
0.007128533,0.003530108
-7.41659E-05,-0.003530108
8.24063E-05,0.000785546
-0.00134407,-0.002752115
-0.008152489,0.002752115
-0.011740082,-0.012245857
-0.00363439,-0.005979687
0.003499706,0.007964996
-0.001432134,-0.005967792
0.003416879,-0.002797205
-0.006118237,-0.014104606
0.003973532,0.007681461
-0.008667581,-0.012563488
0.005986546,0.008123522
0.009628304,0.012462473
-0.009535443,-0.014487175
-0.007813467,-0.00202881
-0.006435446,-0.006928905
-0.003534027,0.003674223
0.003996301,0.012553313
0.004832495,-0.006054509
0.000408751,0.003233633
-0.002719629,0.004027392
0.008424664,0.010793629
0.006867255,0.003968259
0.003173007,-0.000792393
-0.002769527,-0.004767589
0.010982508,0.004767589
-0.00108951,-0.000396432
0.000482525,0.005535799
-0.00861221,-0.009508788
0.004202601,-0.001194981
0.006901718,0.00516797
0.000696679,0.002376239
0.00329435,0.001975895
0.000181784,-0.004748723
-0.00795495,-0.005170025
0.000699318,-0.004395611
-0.014612017,-0.014928661
0.005591688,-0.002034589
0.007862859,0.014155949
0.009263741,0.002006019
-0.006434885,-0.012096922
0.005642079,0.00081103
-0.000272672,0.010483967
0.000322241,-0.001204094
0.009578342,0.015936592
0.002606818,0
-0.004810337,-0.001582279
-0.010237309,-0.009147011
0.001854106,0.01072929
-0.007612111,-0.008335035
0.005608866,0.011098013
